gene_1,3
gene_10,42
gene_100,42
gene_101,44
gene_102,38
gene_103,48
gene_104,47
gene_105,48
gene_106,1
gene_107,48
gene_108,40
gene_109,48
gene_11,48
gene_110,34
gene_111,42
gene_112,8
gene_113,45
gene_114,46
gene_115,30
gene_116,38
gene_117,45
gene_118,41
gene_119,6
gene_12,1
gene_120,38
gene_121,38
gene_122,44
gene_123,45
gene_124,15
gene_125,45
gene_126,42
gene_127,26
gene_128,48
gene_129,43
gene_13,45
gene_130,45
gene_131,42
gene_132,38
gene_133,43
gene_134,42
gene_135,1
gene_136,45
gene_137,36
gene_138,11
gene_139,14
gene_14,1
gene_140,46
gene_141,22
gene_142,45
gene_143,41
gene_144,47
gene_145,32
gene_146,48
gene_147,48
gene_148,4
gene_149,33
gene_15,45
gene_150,40
gene_151,40
gene_152,19
gene_153,48
gene_154,47
gene_155,2
gene_156,16
gene_157,38
gene_158,43
gene_159,43
gene_16,33
gene_160,47
gene_161,44
gene_162,46
gene_163,40
gene_164,26
gene_165,40
gene_166,43
gene_167,31
gene_168,38
gene_169,11
gene_17,47
gene_170,17
gene_171,46
gene_172,2
gene_173,17
gene_174,3
gene_175,47
gene_176,18
gene_177,44
gene_178,1
gene_179,1
gene_18,41
gene_180,2
gene_181,27
gene_182,1
gene_183,42
gene_184,47
gene_185,38
gene_186,42
gene_187,25
gene_188,46
gene_189,34
gene_19,41
gene_190,43
gene_191,1
gene_192,1
gene_193,25
gene_194,46
gene_195,47
gene_196,47
gene_197,2
gene_198,48
gene_199,37
gene_2,2
gene_20,36
gene_200,33
gene_201,23
gene_21,46
gene_22,47
gene_23,28
gene_24,43
gene_25,38
gene_26,38
gene_27,27
gene_28,47
gene_29,42
gene_3,15
gene_30,2
gene_31,30
gene_32,38
gene_33,42
gene_34,3
gene_35,39
gene_36,45
gene_37,17
gene_38,37
gene_39,46
gene_4,36
gene_40,45
gene_41,48
gene_42,48
gene_43,36
gene_44,38
gene_45,27
gene_46,40
gene_47,47
gene_48,32
gene_49,45
gene_5,31
gene_50,41
gene_51,47
gene_52,38
gene_53,44
gene_54,47
gene_55,1
gene_56,48
gene_57,44
gene_58,47
gene_59,2
gene_6,45
gene_60,1
gene_61,1
gene_62,46
gene_63,45
gene_64,36
gene_65,28
gene_66,45
gene_67,1
gene_68,46
gene_69,1
gene_7,34
gene_70,47
gene_71,41
gene_72,33
gene_73,48
gene_74,47
gene_75,1
gene_76,6
gene_77,38
gene_78,20
gene_79,46
gene_8,46
gene_80,34
gene_81,38
gene_82,45
gene_83,27
gene_84,44
gene_85,45
gene_86,43
gene_87,36
gene_88,44
gene_89,40
gene_9,45
gene_90,47
gene_91,40
gene_92,46
gene_93,2
gene_94,1
gene_95,1
gene_96,48
gene_97,1
gene_98,47
gene_99,44
